Company,Rating,Position,Experience,Salary,Location,Skills,Link
Conduent,3.5,"Senior Manager , Data Science",Conduent,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",IT SkillsPythonData ScienceMachine LearningBig DataC++AgileHealthcare,https://www.naukri.com/job-listings-senior-manager-data-science-conduent-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-020721500792?src=jobsearchDesk&sid=16253721465857545&xp=8&px=1
Reliance Jio Infocomm Ltd.,4.0,Manager Data Science,Reliance Jio Infocomm Ltd.,Not disclosed,Bangalore/Bengaluru,Report generationData managementMachine learningData structuresBusiness modelingMobile applicationsData warehousingPredictive analytics,https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-bangalore-bengaluru-5-to-9-years-020721501122?src=jobsearchDesk&sid=16253721465857545&xp=9&px=1
Grail Research,2.2,Data science - Analyst,Grail Research,"5,00,000 - 8,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR",TableauSQLPythonData ScienceAirflowSnowflakeData VisualizationJupyter,https://www.naukri.com/job-listings-data-science-analyst-grail-research-bangalore-bengaluru-delhi-ncr-1-to-3-years-230621004661?src=jobsearchDesk&sid=16253721465857545&xp=10&px=1
JPMorgan Services India Pvt. Ltd,4.1,Data Science Analyst,JPMorgan Services India Pvt. Ltd,Not disclosed,"Mumbai, Bangalore/Bengaluru",Data ScienceRArtificial IntelligenceExploratory AnalysisMarketing AnalyticsMachine LearningDeep LearningPython,https://www.naukri.com/job-listings-data-science-analyst-j-p-morgan-services-india-private-limited-mumbai-bangalore-bengaluru-4-to-9-years-090621904294?src=jobsearchDesk&sid=16253721465857545&xp=11&px=1
BT Global Services,4.2,Specialist Design Engineer - Data Science,BT Global Services,Not disclosed,Bangalore/Bengaluru,Data ValidationData ModellingSASPower BIRegressionData MiningTableauTeradata,https://www.naukri.com/job-listings-specialist-design-engineer-data-science-bt-global-business-services-pvt-ltd-bangalore-bengaluru-2-to-3-years-300621900859?src=jobsearchDesk&sid=16253721465857545&xp=12&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsStatistical analysisPublishingdata scienceArchitectureUnderwritingArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-280621907403?src=jobsearchDesk&sid=16253721465857545&xp=13&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsData ScienceArtificial IntelligenceAnalytical skillsAnalystStatistical analysisPublishingArchitecture,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-010721901800?src=jobsearchDesk&sid=16253721465857545&xp=14&px=1
Trigent Software,3.8,Data Science,Trigent Software,Not disclosed,"Pune, Chennai, Coimbatore, Bangalore/Bengaluru",statisticaldata manipulationScalaperditionnosql Databasedata wrangling projectspackagesnosql,https://www.naukri.com/job-listings-data-science-trigent-software-private-limited-pune-chennai-coimbatore-bangalore-bengaluru-6-to-8-years-240621607279?src=jobsearchDesk&sid=16253721465857545&xp=15&px=1
Trigent Software,3.8,Data Science,Trigent Software,Not disclosed,"Pune, Chennai, Coimbatore, Bangalore/Bengaluru",SparkRdata structureScaladata extractiondata analysispythonHive,https://www.naukri.com/job-listings-data-science-trigent-software-private-limited-pune-chennai-coimbatore-bangalore-bengaluru-6-to-8-years-240621007277?src=jobsearchDesk&sid=16253721465857545&xp=16&px=1
Hexaware Technologies Ltd.,3.4,Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",pythonDatabricksAzure MLMachine LearningIT SkillsData ScienceAzuredeep learning,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-9-to-12-years-290621500192?src=jobsearchDesk&sid=16253721465857545&xp=17&px=1
Techstar Software Development India Pvt. Ltd.,3.5,Data Science Engineer - R/ Python,Techstar Software Development India Pvt. Ltd.,Not disclosed,Bangalore/Bengaluru,PythonKerasTriggerCNNIBM SPSSPysparkLSTMR,https://www.naukri.com/job-listings-data-science-engineer-r-python-techstar-software-development-india-pvt-ltd-bangalore-bengaluru-3-to-6-years-230121904235?src=jobsearchDesk&sid=16253721465857545&xp=18&px=1
Remah IT,Nan,Business Consultant - Data Science,Remah IT,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",AWSAzureGCPData ScienceData ArchitectGoogle Cloud PlatformCloudSnowflake DB,https://www.naukri.com/job-listings-business-consultant-data-science-remah-it-kolkata-mumbai-hyderabad-secunderabad-bangalore-bengaluru-10-to-18-years-060421901437?src=jobsearchDesk&sid=16253721465857545&xp=19&px=1
Cambridge Technology Enterprises Limited,3.9,Senior Engineer / Lead - Data Science,Cambridge Technology Enterprises Limited,"25,00,000 - 40,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru",Artificial IntelligencePandasMachine LearningScikit-LearnNumpyPythonSQL,https://www.naukri.com/job-listings-senior-engineer-lead-data-science-cambridge-technology-enterprises-limited-hyderabad-secunderabad-bangalore-bengaluru-10-to-20-years-040321000071?src=jobsearchDesk&sid=16253721465857545&xp=20&px=1
Dell International Services India  Private Limited,4.1,"Consultant, Data Science",Dell International Services India  Private Limited,Not disclosed,Bangalore/Bengaluru,Data SciencePredictive ModelingCAlgorithmsVisual BasicArtificial IntelligenceProbabilityProgramming,https://www.naukri.com/job-listings-consultant-data-science-dell-international-services-india-private-limited-bangalore-bengaluru-12-to-15-years-030721902155?src=jobsearchDesk&sid=16253722028306637&xp=1&px=1
Hexaware Technologies Ltd.,3.4,"Analytics , Data science and IOT Lead (CH) ",Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",MSTRCommunicationData modellingMicroStrategySQL ServerInterpersonal skillsPDFdata science,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-ch-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-6-to-11-years-020721500356?src=jobsearchDesk&sid=16253722028306637&xp=2&px=1
OTIS,4.1,Senior Data Science Analyst,OTIS,Not disclosed,Bangalore/Bengaluru,TrainingAnalystSalesdata scienceMachine learningMarketing operationsIndividual ContributorForecasting,https://www.naukri.com/job-listings-senior-data-science-analyst-otis-bangalore-bengaluru-1-to-3-years-220621500098?src=jobsearchDesk&sid=16253722028306637&xp=3&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsAnalystPublishingStatistical analysisArchitecturedata scienceUnderwritingConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-280621907360?src=jobsearchDesk&sid=16253722028306637&xp=4&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsAnalystPublishingStatistical analysisArchitecturedata scienceArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-010721902037?src=jobsearchDesk&sid=16253722028306637&xp=5&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,AnalystPublishingArchitecturedata scienceArtificial IntelligenceConsultingMachine learningIndividual Contributor,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-010721901390?src=jobsearchDesk&sid=16253722028306637&xp=6&px=1
Conduent,3.5,"Senior Manager , Data Science",Conduent,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",IT SkillsPythonData ScienceMachine LearningBig DataC++AgileHealthcare,https://www.naukri.com/job-listings-senior-manager-data-science-conduent-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-020721500792?src=jobsearchDesk&sid=16253722028306637&xp=7&px=1
Reliance Jio Infocomm Ltd.,4.0,Manager Data Science,Reliance Jio Infocomm Ltd.,Not disclosed,Bangalore/Bengaluru,Report generationData managementMachine learningData structuresBusiness modelingMobile applicationsData warehousingPredictive analytics,https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-bangalore-bengaluru-5-to-9-years-020721501122?src=jobsearchDesk&sid=16253722028306637&xp=8&px=1
Grail Research,2.2,Data science - Analyst,Grail Research,"5,00,000 - 8,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR",TableauSQLPythonData ScienceAirflowSnowflakeData VisualizationJupyter,https://www.naukri.com/job-listings-data-science-analyst-grail-research-bangalore-bengaluru-delhi-ncr-1-to-3-years-230621004661?src=jobsearchDesk&sid=16253722028306637&xp=9&px=1
JPMorgan Services India Pvt. Ltd,4.1,Data Science Analyst,JPMorgan Services India Pvt. Ltd,Not disclosed,"Mumbai, Bangalore/Bengaluru",Data ScienceRArtificial IntelligenceExploratory AnalysisMarketing AnalyticsMachine LearningDeep LearningPython,https://www.naukri.com/job-listings-data-science-analyst-j-p-morgan-services-india-private-limited-mumbai-bangalore-bengaluru-4-to-9-years-090621904294?src=jobsearchDesk&sid=16253722028306637&xp=10&px=1
BT Global Services,4.2,Specialist Design Engineer - Data Science,BT Global Services,Not disclosed,Bangalore/Bengaluru,Data ValidationData ModellingSASPower BIRegressionData MiningTableauTeradata,https://www.naukri.com/job-listings-specialist-design-engineer-data-science-bt-global-business-services-pvt-ltd-bangalore-bengaluru-2-to-3-years-300621900859?src=jobsearchDesk&sid=16253722028306637&xp=11&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsStatistical analysisPublishingdata scienceArchitectureUnderwritingArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-280621907403?src=jobsearchDesk&sid=16253722028306637&xp=12&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsData ScienceArtificial IntelligenceAnalytical skillsAnalystStatistical analysisPublishingArchitecture,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-010721901800?src=jobsearchDesk&sid=16253722028306637&xp=13&px=1
Philips India Limited,4.0,Specialist II - Data Science,Philips India Limited,Not disclosed,Bangalore/Bengaluru,Computer scienceData analysisMachine learningPLSQLHealthcareQlikViewInformation managementData mining,https://www.naukri.com/job-listings-specialist-ii-data-science-philips-india-limited-bangalore-bengaluru-6-to-8-years-250621500854?src=jobsearchDesk&sid=16253722028306637&xp=14&px=1
Trigent Software,3.8,Data Science,Trigent Software,Not disclosed,"Pune, Chennai, Coimbatore, Bangalore/Bengaluru",statisticaldata manipulationScalaperditionnosql Databasedata wrangling projectspackagesnosql,https://www.naukri.com/job-listings-data-science-trigent-software-private-limited-pune-chennai-coimbatore-bangalore-bengaluru-6-to-8-years-240621607279?src=jobsearchDesk&sid=16253722028306637&xp=15&px=1
Trigent Software,3.8,Data Science,Trigent Software,Not disclosed,"Pune, Chennai, Coimbatore, Bangalore/Bengaluru",SparkRdata structureScaladata extractiondata analysispythonHive,https://www.naukri.com/job-listings-data-science-trigent-software-private-limited-pune-chennai-coimbatore-bangalore-bengaluru-6-to-8-years-240621007277?src=jobsearchDesk&sid=16253722028306637&xp=16&px=1
Hexaware Technologies Ltd.,3.4,Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",pythonDatabricksAzure MLMachine LearningIT SkillsData ScienceAzuredeep learning,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-9-to-12-years-290621500192?src=jobsearchDesk&sid=16253722028306637&xp=17&px=1
Techstar Software Development India Pvt. Ltd.,3.5,Data Science Engineer - R/ Python,Techstar Software Development India Pvt. Ltd.,Not disclosed,Bangalore/Bengaluru,PythonKerasTriggerCNNIBM SPSSPysparkLSTMR,https://www.naukri.com/job-listings-data-science-engineer-r-python-techstar-software-development-india-pvt-ltd-bangalore-bengaluru-3-to-6-years-230121904235?src=jobsearchDesk&sid=16253722028306637&xp=18&px=1
Remah IT,Nan,Business Consultant - Data Science,Remah IT,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",AWSAzureGCPData ScienceData ArchitectGoogle Cloud PlatformCloudSnowflake DB,https://www.naukri.com/job-listings-business-consultant-data-science-remah-it-kolkata-mumbai-hyderabad-secunderabad-bangalore-bengaluru-10-to-18-years-060421901437?src=jobsearchDesk&sid=16253722028306637&xp=19&px=1
GENPACT India Private Limited,4.0,Inviting applications  For Data science (computer science) Bangalore,GENPACT India Private Limited,Not disclosed,Bangalore/Bengaluru,Data ScienceComputer Science,https://www.naukri.com/job-listings-inviting-applications-for-data-science-computer-science-bangalore-genpact-india-private-limited-bangalore-bengaluru-0-to-1-years-290621002258?src=jobsearchDesk&sid=16253722028306637&xp=20&px=1
GENPACT India Private Limited,4.0,Inviting applications  For Data science (computer science) Bangalore,GENPACT India Private Limited,Not disclosed,Bangalore/Bengaluru,Data ScienceComputer Science,https://www.naukri.com/job-listings-inviting-applications-for-data-science-computer-science-bangalore-genpact-india-private-limited-bangalore-bengaluru-0-to-1-years-290621002258?src=jobsearchDesk&sid=16253722547263066&xp=1&px=1
Dell International Services India  Private Limited,4.1,"Consultant, Data Science",Dell International Services India  Private Limited,Not disclosed,Bangalore/Bengaluru,Data SciencePredictive ModelingCAlgorithmsVisual BasicArtificial IntelligenceProbabilityProgramming,https://www.naukri.com/job-listings-consultant-data-science-dell-international-services-india-private-limited-bangalore-bengaluru-12-to-15-years-030721902155?src=jobsearchDesk&sid=16253722547263066&xp=2&px=1
Hexaware Technologies Ltd.,3.4,"Analytics , Data science and IOT Lead (CH) ",Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",MSTRCommunicationData modellingMicroStrategySQL ServerInterpersonal skillsPDFdata science,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-ch-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-6-to-11-years-020721500356?src=jobsearchDesk&sid=16253722547263066&xp=3&px=1
OTIS,4.1,Senior Data Science Analyst,OTIS,Not disclosed,Bangalore/Bengaluru,TrainingAnalystSalesdata scienceMachine learningMarketing operationsIndividual ContributorForecasting,https://www.naukri.com/job-listings-senior-data-science-analyst-otis-bangalore-bengaluru-1-to-3-years-220621500098?src=jobsearchDesk&sid=16253722547263066&xp=4&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsAnalystPublishingStatistical analysisArchitecturedata scienceUnderwritingConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-280621907360?src=jobsearchDesk&sid=16253722547263066&xp=5&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsAnalystPublishingStatistical analysisArchitecturedata scienceArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-010721902037?src=jobsearchDesk&sid=16253722547263066&xp=6&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,AnalystPublishingArchitecturedata scienceArtificial IntelligenceConsultingMachine learningIndividual Contributor,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-010721901390?src=jobsearchDesk&sid=16253722547263066&xp=7&px=1
Conduent,3.5,"Senior Manager , Data Science",Conduent,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",IT SkillsPythonData ScienceMachine LearningBig DataC++AgileHealthcare,https://www.naukri.com/job-listings-senior-manager-data-science-conduent-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-020721500792?src=jobsearchDesk&sid=16253722547263066&xp=8&px=1
Reliance Jio Infocomm Ltd.,4.0,Manager Data Science,Reliance Jio Infocomm Ltd.,Not disclosed,Bangalore/Bengaluru,Report generationData managementMachine learningData structuresBusiness modelingMobile applicationsData warehousingPredictive analytics,https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-bangalore-bengaluru-5-to-9-years-020721501122?src=jobsearchDesk&sid=16253722547263066&xp=9&px=1
Grail Research,2.2,Data science - Analyst,Grail Research,"5,00,000 - 8,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR",TableauSQLPythonData ScienceAirflowSnowflakeData VisualizationJupyter,https://www.naukri.com/job-listings-data-science-analyst-grail-research-bangalore-bengaluru-delhi-ncr-1-to-3-years-230621004661?src=jobsearchDesk&sid=16253722547263066&xp=10&px=1
JPMorgan Services India Pvt. Ltd,4.1,Data Science Analyst,JPMorgan Services India Pvt. Ltd,Not disclosed,"Mumbai, Bangalore/Bengaluru",Data ScienceRArtificial IntelligenceExploratory AnalysisMarketing AnalyticsMachine LearningDeep LearningPython,https://www.naukri.com/job-listings-data-science-analyst-j-p-morgan-services-india-private-limited-mumbai-bangalore-bengaluru-4-to-9-years-090621904294?src=jobsearchDesk&sid=16253722547263066&xp=11&px=1
BT Global Services,4.2,Specialist Design Engineer - Data Science,BT Global Services,Not disclosed,Bangalore/Bengaluru,Data ValidationData ModellingSASPower BIRegressionData MiningTableauTeradata,https://www.naukri.com/job-listings-specialist-design-engineer-data-science-bt-global-business-services-pvt-ltd-bangalore-bengaluru-2-to-3-years-300621900859?src=jobsearchDesk&sid=16253722547263066&xp=12&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsStatistical analysisPublishingdata scienceArchitectureUnderwritingArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-280621907403?src=jobsearchDesk&sid=16253722547263066&xp=13&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsData ScienceArtificial IntelligenceAnalytical skillsAnalystStatistical analysisPublishingArchitecture,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-010721901800?src=jobsearchDesk&sid=16253722547263066&xp=14&px=1
Philips India Limited,4.0,Specialist II - Data Science,Philips India Limited,Not disclosed,Bangalore/Bengaluru,Computer scienceData analysisMachine learningPLSQLHealthcareQlikViewInformation managementData mining,https://www.naukri.com/job-listings-specialist-ii-data-science-philips-india-limited-bangalore-bengaluru-6-to-8-years-250621500854?src=jobsearchDesk&sid=16253722547263066&xp=15&px=1
Trigent Software,3.8,Data Science,Trigent Software,Not disclosed,"Pune, Chennai, Coimbatore, Bangalore/Bengaluru",statisticaldata manipulationScalaperditionnosql Databasedata wrangling projectspackagesnosql,https://www.naukri.com/job-listings-data-science-trigent-software-private-limited-pune-chennai-coimbatore-bangalore-bengaluru-6-to-8-years-240621607279?src=jobsearchDesk&sid=16253722547263066&xp=16&px=1
Trigent Software,3.8,Data Science,Trigent Software,Not disclosed,"Pune, Chennai, Coimbatore, Bangalore/Bengaluru",SparkRdata structureScaladata extractiondata analysispythonHive,https://www.naukri.com/job-listings-data-science-trigent-software-private-limited-pune-chennai-coimbatore-bangalore-bengaluru-6-to-8-years-240621007277?src=jobsearchDesk&sid=16253722547263066&xp=17&px=1
Hexaware Technologies Ltd.,3.4,Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",pythonDatabricksAzure MLMachine LearningIT SkillsData ScienceAzuredeep learning,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-9-to-12-years-290621500192?src=jobsearchDesk&sid=16253722547263066&xp=18&px=1
Techstar Software Development India Pvt. Ltd.,3.5,Data Science Engineer - R/ Python,Techstar Software Development India Pvt. Ltd.,Not disclosed,Bangalore/Bengaluru,PythonKerasTriggerCNNIBM SPSSPysparkLSTMR,https://www.naukri.com/job-listings-data-science-engineer-r-python-techstar-software-development-india-pvt-ltd-bangalore-bengaluru-3-to-6-years-230121904235?src=jobsearchDesk&sid=16253722547263066&xp=19&px=1
Remah IT,Nan,Business Consultant - Data Science,Remah IT,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",AWSAzureGCPData ScienceData ArchitectGoogle Cloud PlatformCloudSnowflake DB,https://www.naukri.com/job-listings-business-consultant-data-science-remah-it-kolkata-mumbai-hyderabad-secunderabad-bangalore-bengaluru-10-to-18-years-060421901437?src=jobsearchDesk&sid=16253722547263066&xp=20&px=1
GENPACT India Private Limited,4.0,Inviting applications  For Data science (computer science) Bangalore,GENPACT India Private Limited,Not disclosed,Bangalore/Bengaluru,Data ScienceComputer Science,https://www.naukri.com/job-listings-inviting-applications-for-data-science-computer-science-bangalore-genpact-india-private-limited-bangalore-bengaluru-0-to-1-years-290621002258?src=jobsearchDesk&sid=16253722753431994&xp=1&px=1
Dell International Services India  Private Limited,4.1,"Consultant, Data Science",Dell International Services India  Private Limited,Not disclosed,Bangalore/Bengaluru,Data SciencePredictive ModelingCAlgorithmsVisual BasicArtificial IntelligenceProbabilityProgramming,https://www.naukri.com/job-listings-consultant-data-science-dell-international-services-india-private-limited-bangalore-bengaluru-12-to-15-years-030721902155?src=jobsearchDesk&sid=16253722753431994&xp=2&px=1
Hexaware Technologies Ltd.,3.4,"Analytics , Data science and IOT Lead (CH) ",Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",MSTRCommunicationData modellingMicroStrategySQL ServerInterpersonal skillsPDFdata science,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-ch-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-6-to-11-years-020721500356?src=jobsearchDesk&sid=16253722753431994&xp=3&px=1
OTIS,4.1,Senior Data Science Analyst,OTIS,Not disclosed,Bangalore/Bengaluru,TrainingAnalystSalesdata scienceMachine learningMarketing operationsIndividual ContributorForecasting,https://www.naukri.com/job-listings-senior-data-science-analyst-otis-bangalore-bengaluru-1-to-3-years-220621500098?src=jobsearchDesk&sid=16253722753431994&xp=4&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsAnalystPublishingStatistical analysisArchitecturedata scienceUnderwritingConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-280621907360?src=jobsearchDesk&sid=16253722753431994&xp=5&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsAnalystPublishingStatistical analysisArchitecturedata scienceArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-010721902037?src=jobsearchDesk&sid=16253722753431994&xp=6&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,AnalystPublishingArchitecturedata scienceArtificial IntelligenceConsultingMachine learningIndividual Contributor,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-010721901390?src=jobsearchDesk&sid=16253722753431994&xp=7&px=1
Conduent,3.5,"Senior Manager , Data Science",Conduent,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",IT SkillsPythonData ScienceMachine LearningBig DataC++AgileHealthcare,https://www.naukri.com/job-listings-senior-manager-data-science-conduent-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-020721500792?src=jobsearchDesk&sid=16253722753431994&xp=8&px=1
Reliance Jio Infocomm Ltd.,4.0,Manager Data Science,Reliance Jio Infocomm Ltd.,Not disclosed,Bangalore/Bengaluru,Report generationData managementMachine learningData structuresBusiness modelingMobile applicationsData warehousingPredictive analytics,https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-bangalore-bengaluru-5-to-9-years-020721501122?src=jobsearchDesk&sid=16253722753431994&xp=9&px=1
Grail Research,2.2,Data science - Analyst,Grail Research,"5,00,000 - 8,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR",TableauSQLPythonData ScienceAirflowSnowflakeData VisualizationJupyter,https://www.naukri.com/job-listings-data-science-analyst-grail-research-bangalore-bengaluru-delhi-ncr-1-to-3-years-230621004661?src=jobsearchDesk&sid=16253722753431994&xp=10&px=1
JPMorgan Services India Pvt. Ltd,4.1,Data Science Analyst,JPMorgan Services India Pvt. Ltd,Not disclosed,"Mumbai, Bangalore/Bengaluru",Data ScienceRArtificial IntelligenceExploratory AnalysisMarketing AnalyticsMachine LearningDeep LearningPython,https://www.naukri.com/job-listings-data-science-analyst-j-p-morgan-services-india-private-limited-mumbai-bangalore-bengaluru-4-to-9-years-090621904294?src=jobsearchDesk&sid=16253722753431994&xp=11&px=1
BT Global Services,4.2,Specialist Design Engineer - Data Science,BT Global Services,Not disclosed,Bangalore/Bengaluru,Data ValidationData ModellingSASPower BIRegressionData MiningTableauTeradata,https://www.naukri.com/job-listings-specialist-design-engineer-data-science-bt-global-business-services-pvt-ltd-bangalore-bengaluru-2-to-3-years-300621900859?src=jobsearchDesk&sid=16253722753431994&xp=12&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsStatistical analysisPublishingdata scienceArchitectureUnderwritingArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-280621907403?src=jobsearchDesk&sid=16253722753431994&xp=13&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsData ScienceArtificial IntelligenceAnalytical skillsAnalystStatistical analysisPublishingArchitecture,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-010721901800?src=jobsearchDesk&sid=16253722753431994&xp=14&px=1
Trigent Software,3.8,Data Science,Trigent Software,Not disclosed,"Pune, Chennai, Coimbatore, Bangalore/Bengaluru",statisticaldata manipulationScalaperditionnosql Databasedata wrangling projectspackagesnosql,https://www.naukri.com/job-listings-data-science-trigent-software-private-limited-pune-chennai-coimbatore-bangalore-bengaluru-6-to-8-years-240621607279?src=jobsearchDesk&sid=16253722753431994&xp=15&px=1
